20250512180544,10.0.0.2,37818,10.0.0.1,5001,1,0.0-1.0,7864380,62915040
20250512180545,10.0.0.2,37818,10.0.0.1,5001,1,1.0-2.0,7733248,61865984
20250512180546,10.0.0.2,37818,10.0.0.1,5001,1,2.0-3.0,6946816,55574528
20250512180547,10.0.0.2,37818,10.0.0.1,5001,1,3.0-4.0,6815744,54525952
20250512180548,10.0.0.2,37818,10.0.0.1,5001,1,4.0-5.0,8519680,68157440
20250512180549,10.0.0.2,37818,10.0.0.1,5001,1,5.0-6.0,5947424,47579392
20250512180550,10.0.0.2,37818,10.0.0.1,5001,1,6.0-7.0,5994720,47957760
20250512180551,10.0.0.2,37818,10.0.0.1,5001,1,7.0-8.0,5994720,47957760
20250512180552,10.0.0.2,37818,10.0.0.1,5001,1,8.0-9.0,5994720,47957760
20250512180553,10.0.0.2,37818,10.0.0.1,5001,1,9.0-10.0,5994720,47957760
20250512180554,10.0.0.2,37818,10.0.0.1,5001,1,10.0-11.0,5994720,47957760
20250512180555,10.0.0.2,37818,10.0.0.1,5001,1,11.0-12.0,5994720,47957760
20250512180556,10.0.0.2,37818,10.0.0.1,5001,1,12.0-13.0,5994720,47957760
20250512180557,10.0.0.2,37818,10.0.0.1,5001,1,13.0-14.0,5994720,47957760
20250512180558,10.0.0.2,37818,10.0.0.1,5001,1,14.0-15.0,5994720,47957760
20250512180559,10.0.0.2,37818,10.0.0.1,5001,1,15.0-16.0,5994720,47957760
20250512180600,10.0.0.2,37818,10.0.0.1,5001,1,16.0-17.0,5994720,47957760
20250512180601,10.0.0.2,37818,10.0.0.1,5001,1,17.0-18.0,5994720,47957760
20250512180602,10.0.0.2,37818,10.0.0.1,5001,1,18.0-19.0,5994720,47957760
20250512180603,10.0.0.2,37818,10.0.0.1,5001,1,19.0-20.0,6029312,48234496
20250512180604,10.0.0.2,37818,10.0.0.1,5001,1,20.0-21.0,5960128,47681024
20250512180605,10.0.0.2,37818,10.0.0.1,5001,1,21.0-22.0,5994720,47957760
20250512180606,10.0.0.2,37818,10.0.0.1,5001,1,22.0-23.0,5994720,47957760
20250512180607,10.0.0.2,37818,10.0.0.1,5001,1,23.0-24.0,5994720,47957760
20250512180608,10.0.0.2,37818,10.0.0.1,5001,1,24.0-25.0,5994720,47957760
20250512180609,10.0.0.2,37818,10.0.0.1,5001,1,25.0-26.0,5994720,47957760
20250512180610,10.0.0.2,37818,10.0.0.1,5001,1,26.0-27.0,6012016,48096128
20250512180611,10.0.0.2,37818,10.0.0.1,5001,1,27.0-28.0,5977424,47819392
20250512180612,10.0.0.2,37818,10.0.0.1,5001,1,28.0-29.0,5994720,47957760
20250512180613,10.0.0.2,37818,10.0.0.1,5001,1,29.0-30.0,5994720,47957760
20250512180614,10.0.0.2,37818,10.0.0.1,5001,1,30.0-31.0,5994720,47957760
20250512180615,10.0.0.2,37818,10.0.0.1,5001,1,31.0-32.0,2997360,23978880
20250512180616,10.0.0.2,37818,10.0.0.1,5001,1,32.0-33.0,5994720,47957760
20250512180617,10.0.0.2,37818,10.0.0.1,5001,1,33.0-34.0,9009376,72075008
20250512180618,10.0.0.2,37818,10.0.0.1,5001,1,34.0-35.0,3014656,24117248
20250512180619,10.0.0.2,37818,10.0.0.1,5001,1,35.0-36.0,5960128,47681024
20250512180620,10.0.0.2,37818,10.0.0.1,5001,1,36.0-37.0,5994720,47957760
20250512180621,10.0.0.2,37818,10.0.0.1,5001,1,37.0-38.0,5994720,47957760
20250512180622,10.0.0.2,37818,10.0.0.1,5001,1,38.0-39.0,5994720,47957760
20250512180623,10.0.0.2,37818,10.0.0.1,5001,1,39.0-40.0,5994720,47957760
